sourceUrl,targetUrl,targetStatusCode,targetMergeQuerystring
/blog/automobile,/blog/automotive,301,TRUE
/fbn/mmi-differentiator,/why-uti,301,TRUE
/fbn/uti-cost,/admissions/tuition,301,TRUE
/about-uti/investors,https://uti.investorroom.com/,301,TRUE
/campus-locations/avondale-az/map,/locations/arizona/avondale,301,TRUE
/campus-locations/lisle-il,/locations/illinois/lisle,301,TRUE
/articulation/high-school,/admissions/admissions-requirements,301,TRUE
/blog/entrepreneurs/bogi-lateiner-blazes-trail,/blog/graduate-stories/uti-graduate-bogi-lateiner-blazes-trail,301,TRUE
/blog/motorcycle/the-vintage-cafe-racer-movement,/blog/motorcycle,301,TRUE
/partners/nissan,/programs/automotive/specialized-training/nissan-natt,301,TRUE
/student-services/epa-certification,/support-services,301,TRUE
/student-services/financial-aid/arizona-student-loan-code-of-conduct,/financial-aid,301,TRUE
/fbn/uti-differentiator,/why-uti,301,TRUE
/fbn/uti-housing,/support-services/housing-assistance,301,TRUE
/why-uti/instructor-stories/story,/why-uti/instructor-stories,301,TRUE
/events/event-viewer/eventid/1791/returntab/1023,/locations,301,TRUE
/why-uti/employer-stories/story,/why-uti/employer-stories,301,TRUE
/disclosure/accsc-graduation-and-employment-data/accrediting-commission-of-career-schools-and-colleges/sacramento-2016-graduate-and-employment-summary,/disclosures,301,TRUE
/fbn/mmi-financial-aid-student-loans,/financial-aid/scholarships-grants,301,TRUE
/blog/education/high-school-students-summer-checklist,/blog/education,301,TRUE
/student-services/scholarships/tuition-reduction-programs,/financial-aid/scholarships-grants,301,TRUE
/srtk,https://res.cloudinary.com/docunary/image/upload/v1698212051/annual-report-student-right-to-know.pdf,301,TRUE
/programs/automotive-diesel-collision-repair,/programs,301,TRUE
/campus-locations/orlando-fl-motorcycle,/locations/florida/orlando-mmi,301,TRUE
/partners/cummins-engine,/programs/diesel/specialized-training/cummins-diesel-engines,301,TRUE
/News-Room/Article-Viewer/Article/Jennifer-Waber-Bergeron-Promoted-to-Universal-Technical-Institute-Campus-President-in-Mooresville,https://news.uti.edu/news-releases?item=22659,301,TRUE
/campus-locations/sacramento-ca/events,/locations,301,TRUE
/blog/education/5-reasons-ignite-2019,/blog/education,301,TRUE
/blog/tips/7-ways-industry-demand-benefits-technicians,/blog/education/skilled-trade-jobs-in-demand,301,TRUE
/longbeachjobs,/locations/california/long-beach,301,TRUE
/campus-locations/orlando-fl-auto,/locations/florida/orlando-uti,301,TRUE
/partners/honda-motorcycle,/programs/motorcycle/specialized-training/honda-hontech,301,TRUE
/fbn/marine-differentiator,/why-uti,301,TRUE
/fafsa-support,https://www04.timetrade.com/app/utiedu/workflows/utiedu002/schedule/availability?wfsid=4aa1gpaiei0buu2fiukbbqleobcgut2f&locationId=uti_fafsa&appointmentTypeGroupId=FAFSA_assistance&appointmentTypeId=fafsa_assistance&resourceId=any&fs=1,301,TRUE
/partners/bmw,/programs/automotive/specialized-training/bmw-step,301,TRUE
/blog/education/9-online-learning-study-tips,/blog/education,301,TRUE
/blog/industry-relationships/uti-students-apply-mrw-work-ethic-scholarship,/financial-aid/scholarships-grants,301,TRUE
/blog/education/universal-technical-institute-opens-campus-in-bloomfield-nj,/locations/new-jersey/bloomfield,301,TRUE
/programs/collision/sacramento-campus,/locations/california/sacramento,301,TRUE
/student-services/tuition-estimator,/admissions/tuition,301,TRUE
/partners/international/msat,/programs/diesel/specialized-training/international-trucks-itep,301,TRUE
/partners/kawasaki,/programs/motorcycle/specialized-training/kawasaki-k-tech,301,TRUE
/partners/kawasaki/elective,/programs/motorcycle/specialized-training/kawasaki-k-tech,301,TRUE
/fbn/mmi-cost,/admissions/tuition,301,TRUE
/partners/cummins-power,/programs/diesel/specialized-training/cummins-power-generation,301,TRUE
/partners/ford,/programs/automotive/specialized-training/ford-fact,301,TRUE
/fbn/marine-financial-aid-student-loans,/financial-aid,301,TRUE
/partners/mercedes-benz/mercedes-benz-video,/programs/automotive/specialized-training/mercedes-benz-drive,301,TRUE
/partners/mercedes-benz/msat,/programs/automotive/specialized-training/mercedes-benz-drive,301,TRUE
/fafsa,https://bit.ly/2J5pnMA,301,TRUE
/blog/education/9-reasons-uti-instructors-teach,/blog/education,301,TRUE
/disclosure/texas-regulations,/disclosures,301,TRUE
/student-services,/support-services,301,TRUE
/fbn/uti-scholarships-techforce-foundation,/financial-aid/scholarships-grants,301,TRUE
/fbn/uti-whos-hiring,/why-uti/industry-relationships,301,TRUE
/forms/form10,/request-info,301,TRUE
/forms/form11,/request-info,301,TRUE
/fbn/uti-process,/admissions/admissions-requirements,301,TRUE
/partners/bmw-motorrad,/programs/automotive/specialized-training/bmw-step,301,TRUE
/partners/bmw-motorrad/elective,/programs/automotive/specialized-training/bmw-step,301,TRUE
/programs/diesel/boston-campus-norwood,/locations/massachusetts/norwood,301,TRUE
/foundation,https://techforce.org/,301,TRUE
/blog/education/early-employment,/support-services/employment-assistance/early-employment,301,TRUE
/partners/toyota,/programs/automotive/specialized-training/toyota-tpat,301,TRUE
/student-services/scholarships/online-scholarship-form,/financial-aid/scholarships-grants,301,TRUE
/campus-locations/lisle-il/automotive-lab-virtual-tour,/locations/illinois/lisle,301,TRUE
/campus-locations/norwood-ma/event/eventid/2273,/locations,301,TRUE
/events/news,/locations,301,TRUE
/partners/ford/elective,/programs/automotive/specialized-training/ford-fact,301,TRUE
/marine,/programs/marine?ijmsource=txt01,301,TRUE
/crrt,/programs/collision?ijmsource=txt01,301,TRUE
/weld,/programs/welding?ijmsource=txt01,301,TRUE
/nascar,/programs/automotive/specialized-training/nascar?ijmsource=txt01,301,TRUE
/bblog/graduate-stories/auto-tech-good-career-plan,/blog/graduate-stories/auto-tech-good-career-plan,301,TRUE
/blog/graduate%20stories,/blog/graduate-stories,301,TRUE
/blog/diesel/peterbilt-rancho-cucamonga-ca,/locations/california/rancho-cucamonga/diesel,301,TRUE
/partners/bmw/elective,/programs/automotive/specialized-training/bmw-step,301,TRUE
/financial-aid/financial-aid-types/student-loans-financial-aid,/financial-aid,301,TRUE
/support-services/military-veterans-services,/support-services/military-veteran-services,301,TRUE
/schools/motorcycle-mechanics-institute,/programs/motorcycle,301,TRUE
/schools/marine-mechanics-institutes,/programs/marine,301,TRUE
/campus-locations/mooresville-nc,/locations/north-carolina/mooresville,301,TRUE
/partners/harley-davidson/elective,/programs/motorcycle/specialized-training/harley-davidson,301,TRUE
/dallas/fa,https://www04.timetrade.com/app/utiedu/workflows/utiedu001/schedule?locationId=uti_dallas,301,TRUE
/avondale/fa,https://www04.timetrade.com/app/utiedu/workflows/utiedu001/schedule?locationId=uti_avondale,301,TRUE
/information,/request-info?uti_vanityurl=information&utm_campaign=CMP-01310-C3Y0G7&utm_medium=direct_mail&source=other,301,TRUE
/partnership,https://forms.nintex.com/FormHost/aspx?id=0J6jFC8refAxxDXV3-e2-oqBQ3jHB0Ujj4oElalqFdQqHaVreqm7roZl6etOs55GZkk_zAISCDQ5x_5j_ULuAlb1ZRQCuLOCzZb4riLYysapfI7z7SnHQoOGgHOi8uu7&TZOffset=420&TZStdOffset=-420&HasDST=false,301,TRUE
/brand-guidelines,https://company-182938.frontify.com/d/yRhkYMcvLCi3/brand-guidelines?,301,TRUE
/start,/?utm_source=outfront&utm_medium=billboard&utm_campaign=CMP-01311-D6D4B1&utm_term=bloomfield_diesel_testimonial15&utm_content=dieseltestimonial&frm=b,301,TRUE
/exton/fafsa,https://www04.timetrade.com/app/utiedu/workflows/utiedu001/schedule?locationId=uti_exton,301,TRUE
